"tag","db","bearing_med","direction","flight_dir","departure_time","departure_5","ground_speed"
798,"atlas2019",-75.5317709741894,"W",284.468229025811,"2019-08-23 21:17:36","2019-08-23 21:20:00",20.5891791513223
745,"atlas2019",-114.489906046803,"SW",245.510093953197,"2019-09-13 18:51:22","2019-09-13 18:50:00",16.0021428686493
867,"atlas2019",-134.597327840987,"SW",225.402672159013,"2019-09-13 19:36:11","2019-09-13 19:40:00",26.6318642283845
831,"atlas2019",-113.717877342821,"SW",246.282122657179,"2019-09-17 21:19:19","2019-09-17 21:20:00",20.1846042016312
830,"atlas2019",-64.256776934754,"NW",295.743223065246,"2019-09-21 20:47:07","2019-09-21 20:50:00",21.8065038127388
793,"atlas2019",-112.294578055049,"W",247.705421944951,"2019-10-01 22:01:44","2019-10-01 22:00:00",5.16140750948655
794,"atlas2019",-119.302275297203,"SW",240.697724702797,"2019-10-01 20:24:54","2019-10-01 20:20:00",21.3461411709057
708,"atlas2019",-75.7337704868679,"W",284.266229513132,"2019-10-04 19:38:01","2019-10-04 19:40:00",18.0332125732379
851,"atlas2019",-94.3478039430925,"W",265.652196056907,"2019-10-04 20:25:04","2019-10-04 20:30:00",15.2209984006439
743,"atlas2019",-83.4261764833428,"W",276.573823516657,"2019-10-06 21:47:11","2019-10-06 21:50:00",15.0523138017873
881,"atlas2019",-113.569732588361,"SW",246.430267411639,"2019-10-06 23:11:18","2019-10-06 23:10:00",21.5287016002463
717,"atlas2019",-87.2678003173618,"W",272.732199682638,"2019-10-17 20:09:34","2019-10-17 20:10:00",1.40081526798325
813,"atlas2019",-96.7132823816061,"W",263.286717618394,"2019-10-20 18:10:45","2019-10-20 18:10:00",22.6954868824408
820,"atlas2019",-126.548151775652,"SW",233.451848224348,"2019-10-20 13:26:03","2019-10-20 13:30:00",15.3892752083577
859,"atlas2019",-106.913890089942,"W",253.086109910058,"2019-10-20 16:23:17","2019-10-20 16:20:00",6.21019666366097
877,"atlas2019",-118.939173377837,"SW",241.060826622163,"2019-10-20 17:24:12","2019-10-20 17:20:00",20.8322567105895
920,"atlas2019",-101.809707434941,"W",258.190292565059,"2019-10-23 15:32:25","2019-10-23 15:30:00",21.9946207928994
833,"atlas2019",-110.503125058489,"W",249.496874941511,"2019-10-23 17:09:00","2019-10-23 17:10:00",13.0401702228725
888,"atlas2019",-88.3841583561054,"W",271.615841643895,"2019-10-23 16:33:18","2019-10-23 16:30:00",1.01683325379199
889,"atlas2019",-88.5381734310926,"W",271.461826568907,"2019-10-23 17:27:16","2019-10-23 17:30:00",4.68560840499047
915,"atlas2019",-118.652539226293,"SW",241.347460773707,"2019-10-28 17:27:40","2019-10-28 17:30:00",23.6087465205952
860,"atlas2019",-81.5541678825163,"W",278.445832117484,"2019-10-29 18:49:56","2019-10-29 18:50:00",21.4385579033159
890,"atlas2019",-108.470804337575,"W",251.529195662425,"2019-10-29 17:02:37","2019-10-29 17:00:00",23.6299363413532
879,"atlas2019",-87.5450132982453,"W",272.454986701755,"2019-11-14 16:23:42","2019-11-14 16:20:00",19.6680483889187
903,"atlas2019",-88.667175460787,"W",271.332824539213,"2019-11-14 20:21:42","2019-11-14 20:20:00",19.5138314397894
981,"atlas2020",-63.7611953880303,"NW",296.23880461197,"2020-11-06 20:07:25","2020-11-06 20:10:00",20.6581014426325
2037,"atlas2020",-97.5767848172345,"W",262.423215182765,"2020-11-06 15:57:39","2020-11-06 16:00:00",23.7521484398362
2039,"atlas2020",-98.1402757258127,"W",261.859724274187,"2020-10-02 20:26:43","2020-10-02 20:30:00",24.2558017747076
2066,"atlas2020",-71.4751268787711,"W",288.524873121229,"2020-11-09 21:43:04","2020-11-09 21:40:00",21.4140825481289
2077,"atlas2020",-115.59473926802,"SW",244.40526073198,"2020-11-04 17:12:51","2020-11-04 17:10:00",12.9198448678744
2081,"atlas2020",-79.6836410700361,"W",280.316358929964,"2020-11-07 20:19:15","2020-11-07 20:20:00",20.2363064837946
2089,"atlas2020",-104.898008448065,"W",255.101991551935,"2020-10-14 03:03:33","2020-10-14 03:00:00",19.2505739471801
2090,"atlas2020",-137.797524139731,"SW",222.202475860269,"2020-11-04 17:16:51","2020-11-04 17:20:00",14.9584205370695
2111,"atlas2020",-88.526579343157,"W",271.473420656843,"2020-10-13 17:16:08","2020-10-13 17:20:00",2.63674777892131
2141,"atlas2020",-93.5459787011652,"W",266.454021298835,"2020-11-06 19:07:59","2020-11-06 19:10:00",19.5927372137617
2144,"atlas2020",-68.9789444102013,"W",291.021055589799,"2020-10-25 17:25:14","2020-10-25 17:30:00",6.62134922655349
2174,"atlas2020",-112.720787969783,"SW",247.279212030217,"2020-10-16 15:34:34","2020-10-16 15:30:00",14.4763917920427
2187,"atlas2020",-88.5849094612104,"W",271.41509053879,"2020-11-07 19:43:36","2020-11-07 19:40:00",21.3605931775854
2233,"atlas2020",-82.6645899093077,"W",277.335410090692,"2020-11-06 19:23:46","2020-11-06 19:20:00",22.5814493075522
2247,"atlas2020",-86.0191214338994,"W",273.980878566101,"2020-11-29 16:22:02","2020-11-29 16:20:00",22.1822989307523
2255,"atlas2020",-110.819336259384,"W",249.180663740616,"2020-11-04 17:35:48","2020-11-04 17:40:00",11.6200842392108
2282,"atlas2020",-117.89807316499,"SW",242.10192683501,"2020-11-07 19:52:55","2020-11-07 19:50:00",18.2246049445658
