Date_Time,Barometer,Temp,High_Temp,Low_Temp,Hum,Dew_Point,Wet.Bulb,Wind_Speed,Wind_Direction,Wind_Run,High_wind_speed,High_wind_direction,Wind_chill,Heat_index,THW_Index,Rain,Rain_rate,ET,Heating_degree_days,Cooling_degree_days,wd
2019-01-01 0:00,1026.8,8.2,8.5,8.2,87,6.2,--,6.7,NNE,6.71,9.4,NNE,4.2,8.3,4.2,0,0,0,0.421,0,202.5
2019-01-01 1:00,1026.2,8.2,8.3,8.1,87,6.1,--,7.2,NNE,7.15,9.8,NE,4,8.2,4,0,0,0,0.424,0,202.5
2019-01-01 2:00,1025.2,8.2,8.3,8.1,87,6.2,--,7.6,NNE,7.6,10.7,NNE,3.9,8.3,3.9,0,0,0,0.421,0,202.5
2019-01-01 3:00,1024.7,8.4,8.4,8.2,87,6.3,--,8.5,NNE,8.49,11.6,NNE,3.8,8.4,3.8,0,0,0,0.414,0,202.5
2019-01-01 4:00,1024.8,8.5,8.5,8.3,87,6.5,--,7.6,NE,7.6,11.2,N,4.2,8.5,4.2,0,0,0,0.41,0,225
2019-01-01 5:00,1023.9,8.6,8.6,8.4,88,6.7,--,7.6,NE,7.6,10.3,NE,4.2,8.6,4.3,0,0,0,0.407,0,225
2019-01-01 6:00,1023.4,8.7,8.7,8.6,88,6.8,--,7.6,NE,7.6,10.7,NE,4.4,8.7,4.4,0,0,0,0.403,0,225
2019-01-01 7:00,1023,8.8,8.8,8.6,89,7.1,--,8,NE,8.05,11.2,ENE,4.4,8.9,4.5,0,0,0,0.396,0,225
2019-01-01 8:00,1023.5,8.1,9.1,8.1,89,6.4,--,7.6,ENE,7.6,13,ENE,3.7,8.1,3.8,0,0,0,0.428,0,247.5
2019-01-01 9:00,1024.3,7.9,8.2,7.9,86,5.7,--,4.9,E,4.92,8,E,4.7,8,4.8,0,0,0,0.433,0,270
2019-01-01 10:00,1024.5,8.2,8.2,7.9,84,5.6,--,4.9,E,4.92,8.5,ENE,5,8.1,5,0,0,0,0.424,0,270
2019-01-01 11:00,1024.8,8.1,8.2,7.9,82,5.2,--,5.8,E,5.81,9.4,E,4.5,8,4.4,0,0,0,0.426,0,270
2019-01-01 12:00,1024.7,8.1,8.3,8.1,81,5,--,6.7,E,6.71,10.3,ENE,4.1,8,4,0,0,0,0.426,0,270
2019-01-01 13:00,1024.3,8.2,8.2,8.1,81,5.1,--,8,E,8.05,13,E,3.6,8.1,3.6,0,0,0,0.424,0,270
2019-01-01 14:00,1024.7,8.2,8.3,8.1,79,4.7,--,8,E,8.05,13.4,E,3.6,8,3.5,0,0,0,0.424,0,270
2019-01-01 15:00,1025.2,7.9,8.2,7.8,75,3.7,--,8.9,E,8.94,14.8,E,3.1,7.7,2.9,0,0,0,0.435,0,270
2019-01-01 16:00,1025.4,5.9,7.9,5.9,83,3.3,--,9.4,E,9.39,18.8,E,0.7,5.8,0.6,0,0,0,0.516,0,270
2019-01-01 17:00,1025.5,6.8,7.4,5.9,79,3.4,--,8.9,E,8.94,14.3,E,1.8,6.6,1.7,0,0,0,0.481,0,270
2019-01-01 18:00,1025.9,7,7.1,5.7,73,2.5,--,9.4,E,9.39,16.1,E,1.9,6.8,1.7,0.2,0,0,0.472,0,270
2019-01-01 19:00,1026.9,7.2,7.3,6.8,70,2.1,--,10.3,E,10.28,17,E,1.9,6.9,1.7,0,0,0,0.463,0,270
2019-01-01 20:00,1027.5,7.1,7.2,6.8,70,2,--,10.3,E,10.28,15.6,ENE,1.8,6.8,1.5,0,0,0,0.47,0,270
2019-01-01 21:00,1028.2,6.8,7.1,5.7,66,0.9,--,9.8,ENE,9.83,16.5,E,1.6,6.5,1.3,0,0,0,0.479,0,247.5
2019-01-01 22:00,1028.6,6.6,6.9,6.3,67,0.9,--,10.3,ENE,10.28,15.6,ENE,1.3,6.3,0.9,0,0,0,0.488,0,247.5
2019-01-01 23:00,1028.9,6.8,6.8,6.4,69,1.5,--,9.8,ENE,9.83,15.6,ENE,1.6,6.5,1.3,0,0,0,0.479,0,247.5
2019-01-02 0:00,1029.6,6.4,6.8,6.3,71,1.6,--,9.8,ENE,9.83,14.8,ENE,1.2,6.2,0.9,0,0,0,0.495,0,247.5
2019-01-02 1:00,1030.1,6.7,6.8,6.4,70,1.6,--,9.4,ENE,9.39,14.8,ENE,1.6,6.4,1.3,0,0,0,0.484,0,247.5
2019-01-02 2:00,1030.7,6.7,6.8,6.7,71,1.8,--,9.8,ENE,9.83,16.1,ENE,1.4,6.4,1.2,0,0,0,0.486,0,247.5
2019-01-02 3:00,1031.3,6.7,6.8,6.6,72,2,--,9.4,ENE,9.39,14.3,NE,1.6,6.4,1.3,0,0,0,0.486,0,247.5
2019-01-02 4:00,1031.7,6.1,6.9,5.5,76,2.2,--,9.4,ENE,9.39,15.2,ENE,0.9,5.9,0.7,0.2,0,0,0.509,0,247.5
2019-01-02 5:00,1031.8,6.6,6.7,6.1,76,2.6,--,8.9,ENE,8.94,13.9,ENE,1.5,6.4,1.3,0,0,0,0.491,0,247.5
2019-01-02 6:00,1031.9,5.8,6.6,4.9,80,2.6,--,8.9,ENE,8.94,14.8,ENE,0.7,5.7,0.6,0,0,0,0.521,0,247.5
2019-01-02 7:00,1032.3,6,6.3,5.6,81,3,--,8.5,ENE,8.49,13.4,ENE,1,5.9,0.9,0.2,0,0,0.514,0,247.5
2019-01-02 8:00,1033.2,5.4,6.3,5,82,2.6,--,8,ENE,8.05,13.4,NE,0.6,5.3,0.4,0,0,0,0.537,0,247.5
2019-01-02 9:00,1034,6.1,6.4,5.4,76,2.2,--,7.2,ENE,7.15,11.6,E,1.6,5.9,1.4,0,0,0,0.509,0,247.5
2019-01-02 10:00,1034.4,6.6,6.6,6.1,73,2.1,--,7.2,E,7.15,11.6,ENE,2.1,6.3,1.9,0,0,0,0.491,0,270
2019-01-02 11:00,1035,6.6,6.7,5.7,69,1.3,--,6.7,ENE,6.71,13.9,E,2.3,6.2,2,0,0,0,0.491,0,247.5
2019-01-02 12:00,1035.4,6.1,6.7,6.1,77,2.3,--,6.7,ENE,6.71,11.6,ENE,1.7,5.9,1.5,0,0,0,0.512,0,247.5
2019-01-02 13:00,1035.5,6.3,6.6,5.9,71,1.5,--,6.3,E,6.26,11.2,E,2.2,6,2,0.2,0,0,0.5,0,270
2019-01-02 14:00,1035.7,6.2,6.8,5.7,78,2.7,--,5.4,ENE,5.36,11.2,ENE,2.5,6,2.3,0,0,0,0.505,0,247.5
2019-01-02 15:00,1036.1,6.7,7.1,6.1,73,2.2,--,5.4,E,5.36,8.9,ENE,3.1,6.5,2.8,0,0,0,0.484,0,270
2019-01-02 16:00,1036.3,5.2,6.7,5.1,82,2.4,--,4,E,4.02,9.4,ENE,2.1,5.1,2,0,0,0,0.546,0,270
2019-01-02 17:00,1036.5,6.1,6.1,5.2,77,2.3,--,3.1,ENE,3.13,7.2,NE,3.7,5.9,3.5,0,0,0,0.512,0,247.5
2019-01-02 18:00,1036.9,5.7,6.2,5.7,75,1.6,--,5.4,ENE,5.36,9.8,ENE,1.9,5.5,1.7,0,0,0,0.525,0,247.5
2019-01-02 19:00,1036.9,6.2,6.2,5.7,74,1.9,--,4,ENE,4.02,9.4,E,3.2,5.9,2.9,0,0,0,0.507,0,247.5
2019-01-02 20:00,1037.1,5.6,6.3,5,80,2.4,--,3.6,ENE,3.58,9.4,ENE,2.8,5.4,2.6,0,0,0,0.532,0,247.5
2019-01-02 21:00,1037.4,5.3,5.8,5.3,79,2,--,4,ENE,4.02,7.2,ENE,2.2,5.2,2.1,0,0,0,0.542,0,247.5
2019-01-02 22:00,1037.1,5.3,5.5,5.3,81,2.3,--,4,NE,4.02,7.6,NE,2.2,5.2,2.1,0,0,0,0.542,0,225
2019-01-02 23:00,1037,5.3,5.4,5.1,84,2.8,--,3.6,NE,3.58,6.7,ENE,2.4,5.2,2.3,0,0,0,0.544,0,225
2019-01-03 0:00,1036.7,4.6,5.3,4.6,83,2,--,4,ENE,4.02,9.8,NE,1.4,4.5,1.2,0.2,0,0,0.572,0,247.5
2019-01-03 1:00,1036.7,4.9,5.3,4.6,81,1.9,--,4,NE,4.02,9.4,NE,1.7,4.7,1.5,0,0,0,0.56,0,225
2019-01-03 2:00,1036.8,5.2,5.2,4.8,82,2.3,--,4,ENE,4.02,6.7,NE,2,5,1.9,0,0,0,0.549,0,247.5
2019-01-03 3:00,1037.1,4.6,5.2,4.6,84,2.1,--,3.6,ENE,3.58,7.6,NE,1.6,4.4,1.5,0,0,0,0.574,0,247.5
2019-01-03 4:00,1036.7,4.4,4.6,3.9,85,2.1,--,1.3,NE,1.34,4.9,NE,3.5,4.3,3.4,0,0,0,0.579,0,225
2019-01-03 5:00,1036.6,5,5.3,4.4,82,2.2,--,4,NE,4.02,7.6,NE,1.8,4.9,1.7,0,0,0,0.556,0,225
2019-01-03 6:00,1036.6,5.1,5.4,4.9,82,2.3,--,4.5,ENE,4.47,7.6,NE,1.7,5,1.5,0,0,0,0.551,0,247.5
2019-01-03 7:00,1036.6,5.2,5.3,4.9,82,2.3,--,4.5,ENE,4.47,7.2,ENE,1.8,5,1.6,0,0,0,0.549,0,247.5
2019-01-03 8:00,1036.8,4.9,5.5,4.9,79,1.6,--,4.9,ENE,4.92,8,NE,1.3,4.8,1.1,0,0,0,0.558,0,247.5
2019-01-03 9:00,1037.2,4.8,5.2,4.8,81,1.8,--,4,ENE,4.02,6.7,E,1.6,4.6,1.4,0,0,0,0.565,0,247.5
2019-01-03 10:00,1037.5,4.8,5.4,4.7,83,2.2,--,3.1,ENE,3.13,7.6,ENE,2.2,4.7,2.1,0,0,0,0.562,0,247.5
2019-01-03 11:00,1037.9,5.3,6.2,4.8,81,2.3,--,3.6,ENE,3.58,6.3,ENE,2.5,5.2,2.4,0,0,0,0.542,0,247.5
2019-01-03 12:00,1037.5,6.7,6.7,5.3,80,3.5,--,2.7,ENE,2.68,7.2,ENE,4.7,6.6,4.6,0,0,0,0.486,0,247.5
2019-01-03 13:00,1037.2,5.5,6.8,5.5,83,2.8,--,3.6,ENE,3.58,8,E,2.7,5.4,2.6,0,0,0,0.535,0,247.5
2019-01-03 14:00,1037.2,6.7,6.8,5.4,79,3.3,--,4,ENE,4.02,8.5,ENE,3.8,6.5,3.6,0,0,0,0.486,0,247.5
2019-01-03 15:00,1037.5,5.9,6.8,5.9,82,3.1,--,2.2,ENE,2.24,6.7,ENE,4.2,5.8,4.1,0,0,0,0.516,0,247.5
2019-01-03 16:00,1037.8,5.3,6.3,5.3,86,3.2,--,2.2,ENE,2.24,8,E,3.5,5.2,3.4,0.2,0,0,0.542,0,247.5
2019-01-03 17:00,1038,5.3,5.7,5.3,87,3.3,--,0.4,E,0.45,4.9,ENE,5.3,5.2,5.2,0,0,0,0.544,0,270
2019-01-03 18:00,1038.2,4.5,5.4,4.5,88,2.7,--,1.8,E,1.79,6.7,E,3,4.4,2.9,0.2,0,0,0.576,0,270
2019-01-03 19:00,1037.9,5,5.1,4.2,89,3.3,--,0,,0,2.2,ENE,5,4.9,4.9,0,0,0,0.556,0,NA
2019-01-03 20:00,1038,5.3,5.3,5,88,3.5,--,2.2,NE,2.24,6.3,NE,3.5,5.3,3.5,0,0,0,0.542,0,225
2019-01-03 21:00,1037.9,5.2,5.6,5.1,88,3.4,--,2.7,ENE,2.68,7.2,ENE,3,5.2,2.9,0,0,0,0.546,0,247.5
2019-01-03 22:00,1037.7,5.3,5.5,5.2,87,3.3,--,0.9,NE,0.89,4,ENE,5.3,5.2,5.2,0,0,0,0.544,0,225
2019-01-03 23:00,1037.3,4.8,5.4,4.8,87,2.8,--,2.2,NE,2.24,5.8,ENE,2.9,4.7,2.8,0,0,0,0.565,0,225
2019-01-04 0:00,1037.4,4.9,5,4.6,89,3.3,--,0.4,ENE,0.45,3.6,ENE,4.9,4.9,4.9,0,0,0,0.558,0,247.5
2019-01-04 1:00,1037.3,4.1,5.3,4.1,89,2.5,--,1.3,ENE,1.34,4.9,NE,3.2,4,3.1,0,0,0,0.593,0,247.5
2019-01-04 2:00,1037,5.4,5.4,4.1,89,3.7,--,3.6,NE,3.58,6.7,NE,2.6,5.4,2.5,0,0,0,0.539,0,225
2019-01-04 3:00,1036.9,5.6,5.7,5.4,83,2.9,--,4.5,NNE,4.47,6.7,NNE,2.3,5.5,2.2,0,0,0,0.53,0,202.5
2019-01-04 4:00,1036.9,5.3,5.6,5.2,84,2.8,--,4.5,N,4.47,7.2,NNE,1.9,5.2,1.8,0,0,0,0.544,0,180
2019-01-04 5:00,1035.9,5.3,5.5,5.2,81,2.3,--,4.9,NNE,4.92,7.6,NNE,1.6,5.1,1.5,0,0,0,0.544,0,202.5
2019-01-04 6:00,1035.6,5.2,5.3,5.1,83,2.6,--,5.4,N,5.36,8.5,N,1.4,5.1,1.2,0.2,0,0,0.546,0,180
2019-01-04 7:00,1035.2,5.3,5.4,5.1,81,2.3,--,5.4,N,5.36,8.5,N,1.5,5.2,1.3,0,0,0,0.542,0,180
2019-01-04 8:00,1035,5.5,5.6,5.3,82,2.7,--,6.3,NNE,6.26,9.8,NNE,1.3,5.4,1.1,0,0,0,0.535,0,202.5
2019-01-04 9:00,1035.6,5.7,5.9,5.4,80,2.5,--,5.8,NNE,5.81,10.3,NE,1.7,5.5,1.5,0,0,0,0.528,0,202.5
2019-01-04 10:00,1034.9,6,6.1,5.6,82,3.2,--,5.8,NNE,5.81,10.3,NE,2,5.9,1.9,0,0,0,0.514,0,202.5
2019-01-04 11:00,1034.3,6.2,6.3,5.9,82,3.4,--,6.3,NNE,6.26,9.4,NNE,2.1,6.1,2,0,0,0,0.505,0,202.5
2019-01-04 12:00,1033.6,6.3,6.4,6.2,83,3.6,--,6.3,NNE,6.26,9.8,NNE,2.2,6.2,2.1,0,0,0,0.502,0,202.5
2019-01-04 13:00,1033,6.4,6.4,6.3,82,3.5,--,6.3,NNE,6.26,10.7,NNE,2.3,6.3,2.2,0,0,0,0.498,0,202.5
2019-01-04 14:00,1032.3,6.4,6.5,6.3,83,3.8,--,5.8,NE,5.81,8.9,NNE,2.5,6.4,2.4,0,0,0,0.495,0,225
